Topic,Name,Representation,Representative_Docs,Top_n_words,Number of Documents
-1,-1_女角色_steam_黑神话悟空_黑神话,"['女角色', 'steam', '黑神话悟空', '黑神话', '破防', '游戏', '女人', '女性', '真的', '评论']","['因为上半年韩国游戏「星刃」就已经给游戏厂商们上了一课，没有直观的对比，还真不那么容易暴露喂屎的实质，YouTube也有博主展示了十多年来3A游戏女性主角形象一路崩塌的滑坡趋势，只有东亚游戏公司还在冥顽不化的设计高颜值女角色，欧美大厂有一个算一个几乎全都沦陷，仿佛做出好看的女角色就会杀了制作人全家，一个主流的解释是，在进步主义的观念下，贩卖漂亮性感的女角色作为游戏销售内容的一部分，是在助长男性凝视', '因为上半年韩国游戏「星刃」就已经给游戏厂商们上了一课，没有直观的对比，还真不那么容易暴露喂屎的实质，YouTube也有博主展示了十多年来3A游戏女性主角形象一路崩塌的滑坡趋势，只有东亚游戏公司还在冥顽不化的设计高颜值女角色，欧美大厂有一个算一个几乎全都沦陷，仿佛做出好看的女角色就会杀了制作人全家，一个主流的解释是，在进步主义的观念下，贩卖漂亮性感的女角色作为游戏销售内容的一部分，是在助长男性凝视', '乖乖，女人剥削女人更狠啊之前那个要员工自带办公电脑甚至还要去网吧办公，还要求员工“赞助公司资金”的全女游戏工作室，我一直以为是串子在串，没想到她们是认真的，最近黑神话悟空爆火，天卖破15亿实在有点出乎本人意料，，大部分普通人只知道玩游戏，而我敏锐的觉察到一个社会现，且女性在这些行业里面备受排挤打压，如果有不相信的集美，们可以去了解一下黑吗睦的开发团队游戏科技公司，典型的，全男组合，而']","['女角色', 'steam', '黑神话悟空', '黑神话', '破防', '游戏', '女人', '女性', '真的', '评论']",273
0,0_特别_策划_星鸣特攻_赚钱,"['特别', '策划', '星鸣特攻', '赚钱', '玩游戏', '工作', '原因', '自然', '实锤', '质疑']","['出名原因在于她去暴雪遇上暴雪大裁员，去星鸣特攻又遇上游戏大暴死，去哪哪倒闭，打出了行业冥灯的效果，记忆点特别鲜明，自然就会有人来问这么赚钱的工作，为什么没有女性，过去虽然有质疑策划不玩游戏的都市传说但如此正面的实锤还是第一次，公允的说，暴雪大裁员和星鸣特攻暴死的责任都不能算她头上，而且这两年做砸多个项目的游戏设计师没一千也有八百，为什么这位姐们特别出圈呢，因为她无意间成为了这两年游戏圈玩家对于“', '出名原因在于她去暴雪遇上暴雪大裁员，去星鸣特攻又遇上游戏大暴死，去哪哪倒闭，打出了行业冥灯的效果，记忆点特别鲜明，自然就会有人来问这么赚钱的工作，为什么没有女性，过去虽然有质疑策划不玩游戏的都市传说但如此正面的实锤还是第一次，公允的说，暴雪大裁员和星鸣特攻暴死的责任都不能算她头上，而且这两年做砸多个项目的游戏设计师没一千也有八百，为什么这位姐们特别出圈呢，因为她无意间成为了这两年游戏圈玩家对于“', '出名原因在于她去暴雪遇上暴雪大裁员，去星鸣特攻又遇上游戏大暴死，去哪哪倒闭，打出了行业冥灯的效果，记忆点特别鲜明，自然就会有人来问这么赚钱的工作，为什么没有女性，过去虽然有质疑策划不玩游戏的都市传说但如此正面的实锤还是第一次，公允的说，暴雪大裁员和星鸣特攻暴死的责任都不能算她头上，而且这两年做砸多个项目的游戏设计师没一千也有八百，为什么这位姐们特别出圈呢，因为她无意间成为了这两年游戏圈玩家对于“']","['特别', '策划', '星鸣特攻', '赚钱', '玩游戏', '工作', '原因', '自然', '实锤', '质疑']",616
1,1_女人_长得_steam_展开,"['女人', '长得', 'steam', '展开', '美女', '有人', '黑神话悟空', '女性', '游戏', '孩子']","['《万物皆可嫉妒》猪刚鬣们对黑神话悟空的美女脸模们癫狂的恨意，\u200b\u200b::自信是一门学问D，哪能吃上这种细糠#steam游戏展开大姐马上发财，只允许女人作为情趣娃娃存在，见不得女人成为活，上面那排像打了十斤玻尿酸又躺了三年手术台改造，上面就是供勇的欣赏的玩物，下面才是真正的人，退一万步进，有人长得和上面的一样，那也是少数，派，真正的女性都是普', '哈哈哈哈哈哈猪刚鬣们对黑神话悟空的美女脸模们癫狂的恨意，\u200b\u200b::自信是一门学问D，哪能吃上这种细糠#steam游戏展开大姐马上发财，只允许女人作为情趣娃娃存在，见不得女人成为活，上面那排像打了十斤玻尿酸又躺了三年手术台改造，上面就是供勇的欣赏的玩物，下面才是真正的人，退一万步进，有人长得和上面的一样，那也是少数，派，真正的女性都是普普通通的，用少数派去', '哈哈哈哈哈哈猪刚鬣们对黑神话悟空的美女脸模们癫狂的恨意，\u200b\u200b::自信是一门学问D，哪能吃上这种细糠#steam游戏展开大姐马上发财，只允许女人作为情趣娃娃存在，见不得女人成为活，上面那排像打了十斤玻尿酸又躺了三年手术台改造，上面就是供勇的欣赏的玩物，下面才是真正的人，退一万步进，有人长得和上面的一样，那也是少数，派，真正的女性都是普普通通的，用少数派去']","['女人', '长得', 'steam', '展开', '美女', '有人', '黑神话悟空', '女性', '游戏', '孩子']",145
2,2_女权_权益_迎合_不想,"['女权', '权益', '迎合', '不想', '互联网', '元素', '一位', '四处', '群体', '女性']","['太会理中客辣//我也女权，但我也玩黑神话，黑悟空的创作者此前不过是表态说不想为了迎合部分女玩家，无底线地加入某些低级元素而已，女权就给它扣上了一顶「辱女」的帽子，然后四处施加舆论压力，女权是一个很广泛和端正的概念，被互联网解构和缩减成自私鬼和极端分子的标签，对于我们重视女性独立和女性权益保护的正常女性群体，这并不恰当，任何一位尊重女性的男士也是女权无声的拥护者，只是那些人那些群体本身有', '笑死你跟男的讲理男的叫你滚//我也女权，但我也玩黑神话，黑悟空的创作者此前不过是表态说不想为了迎合部分女玩家，无底线地加入某些低级元素而已，女权就给它扣上了一顶「辱女」的帽子，然后四处施加舆论压力，女权是一个很广泛和端正的概念，被互联网解构和缩减成自私鬼和极端分子的标签，对于我们重视女性独立和女性权益保护的正常女性群体，这并不恰当，任何一位尊重女性的男士也是女权无声的拥护者，只是那些人那', '薛定谔的女权//我也女权，但我也玩黑神话，黑悟空的创作者此前不过是表态说不想为了迎合部分女玩家，无底线地加入某些低级元素而已，女权就给它扣上了一顶「辱女」的帽子，然后四处施加舆论压力，女权是一个很广泛和端正的概念，被互联网解构和缩减成自私鬼和极端分子的标签，对于我们重视女性独立和女性权益保护的正常女性群体，这并不恰当，任何一位尊重女性的男士也是女权无声的拥护者，只是那些人那些群体本身']","['女权', '权益', '迎合', '不想', '互联网', '元素', '一位', '四处', '群体', '女性']",65
3,3_性别歧视_发布_媒体_中国,"['性别歧视', '发布', '媒体', '中国', '网上', '平台', '攻击', '游戏科学', '关注', '文化']","['////说归说，这可是来自美联社的“皇军认证”，意外地引发了人们对中国长期荐在的以男性为主导的游戏文化中的性别歧视的关注，正当一些游戏玩家沉浸在动作冒险游戏《黑神话：空》的巨大成功之中时，其他人却对中，国游戏中的性别歧视表示不满，并指控该游戏的深圳开发商游戏科学公司在网上发布了攻击，批评者在中国社交媒体平台微博上发布了这些消息的截图，其中一张截图获得了超过40万，批许者称其中一条', '//说归说，这可是来自美联社的“皇军认证”，意外地引发了人们对中国长期荐在的以男性为主导的游戏文化中的性别歧视的关注，正当一些游戏玩家沉浸在动作冒险游戏《黑神话：空》的巨大成功之中时，其他人却对中，国游戏中的性别歧视表示不满，并指控该游戏的深圳开发商游戏科学公司在网上发布了攻击，批评者在中国社交媒体平台微博上发布了这些消息的截图，其中一张截图获得了超过40万，批许者称其中一条帖子来自创始人', '//说归说，这可是来自美联社的“皇军认证”，意外地引发了人们对中国长期荐在的以男性为主导的游戏文化中的性别歧视的关注，正当一些游戏玩家沉浸在动作冒险游戏《黑神话：空》的巨大成功之中时，其他人却对中，国游戏中的性别歧视表示不满，并指控该游戏的深圳开发商游戏科学公司在网上发布了攻击，批评者在中国社交媒体平台微博上发布了这些消息的截图，其中一张截图获得了超过40万，批许者称其中一条帖子来自创']","['性别歧视', '发布', '媒体', '中国', '网上', '平台', '攻击', '游戏科学', '关注', '文化']",63
4,4_网友_美女_男性_真人,"['网友', '美女', '男性', '真人', '符合', '国家', '物化', '内容', '女性', '尊重']","['一些女性网友认为这款游戏充斥着各种男性 凝视以及对女性的不尊重，世完蛋我被美女包围了涉嫌物化女性##完蛋我被，付费42元便可以与六名真人拍摄的美女角色互动、，过，一些女性网友认为，这款游戏充斥着各种男性，应该对内容进行审慎考虑，不符合当前国家大力发，#乙女圈怎么突然被哈圈上了#，透露着女性对男性的反凝视#游戏圈的大战一触，命人“无关，也不是游', '一些女性网友认为这款游戏充斥着各种男性 凝视以及对女性的不尊重，世完蛋我被美女包围了涉嫌物化女性##完蛋我被，付费42元便可以与六名真人拍摄的美女角色互动、，过，一些女性网友认为，这款游戏充斥着各种男性，应该对内容进行审慎考虑，不符合当前国家大力发，#乙女圈怎么突然被哈圈上了#，透露着女性对男性的反凝视#游戏圈的大战一触，命人“无关，也不是游', '一些女性网友认为这款游戏充斥着各种男性 凝视以及对女性的不尊重，世完蛋我被美女包围了涉嫌物化女性##完蛋我被，付费42元便可以与六名真人拍摄的美女角色互动、，过，一些女性网友认为，这款游戏充斥着各种男性，应该对内容进行审慎考虑，不符合当前国家大力发，#乙女圈怎么突然被哈圈上了#，透露着女性对男性的反凝视#游戏圈的大战一触，命人“无关，也不是游']","['网友', '美女', '男性', '真人', '符合', '国家', '物化', '内容', '女性', '尊重']",56
5,5_观点_报道_冯骥_游戏科学,"['观点', '报道', '冯骥', '游戏科学', '宣传', '发布', '关注', '性别歧视', '文化', '元素']","['美联社今天发布的最新报道表示，#黑神话悟空#，美联社今天发布的最新报道表示长期存在的以男性为主导的游戏文化中猖獗的性别歧视的关注，的观点表示游戏科学创始人冯骥用带有性暗示的描述来比喻对该游戏宣传的积极反应，并指出该公司的招募海报中存在淫秽元素，引发了对中国“长期存在的以男性为主导的游戏文化中猖獗的性别歧视的关注”，美联社在报道中引用“批评者”的观点表示，游戏科学创始人冯骥用带有性暗示的描述来比喻', '惑乱人心美联社今天发布的最新报道表示，#黑神话悟空#，惑乱人心美联社今天发布的最新报道表示长期存在的以男性为主导的游戏文化中猖獗的性别歧视的关注，的观点表示游戏科学创始人冯骥用带有性暗示的描述来比喻对该游戏宣传的积极反应，并指出该公司的招募海报中存在淫秽元素，引发了对中国“长期存在的以男性为主导的游戏文化中猖獗的性别歧视的关注”，美联社在报道中引用“批评者”的观点表示，游戏科学创始人冯骥用带有性', '关你屁事美联社今天发布的最新报道表示，#黑神话悟空#，关你屁事美联社今天发布的最新报道表示长期存在的以男性为主导的游戏文化中猖獗的性别歧视的关注，的观点表示游戏科学创始人冯骥用带有性暗示的描述来比喻对该游戏宣传的积极反应，并指出该公司的招募海报中存在淫秽元素，引发了对中国“长期存在的以男性为主导的游戏文化中猖獗的性别歧视的关注”，美联社在报道中引用“批评者”的观点表示，游戏科学创始人冯骥用带有性']","['观点', '报道', '冯骥', '游戏科学', '宣传', '发布', '关注', '性别歧视', '文化', '元素']",55
6,6_豆瓣_女拳_四处_黑神话悟空,"['豆瓣', '女拳', '四处', '黑神话悟空', '哈哈哈哈', '黑猴', '仙女', '发现', '只能', '不到']","['退学！破书不读了豆瓣女拳在学校四处投诉黑神话悟空无门，\u200b\u200b::《黑?》已入侵校园，课跟英语老师反应了况，说这篇外刊是全校英语课都统一讲的，，扬这难道不是意识形态灌输吗。', '就是因为你们这种人太多了！😡豆瓣女拳在学校四处投诉黑神话悟空无门，\u200b\u200b::《黑?》已入侵校园，课跟英语老师反应了况，说这篇外刊是全校英语课都统一讲的，，扬这难道不是意识形态灌输吗。', '废物是这样的豆瓣女拳在学校四处投诉黑神话悟空无门，\u200b\u200b::《黑?》已入侵校园，课跟英语老师反应了况，说这篇外刊是全校英语课都统一讲的，，扬这难道不是意识形态灌输吗。']","['豆瓣', '女拳', '四处', '黑神话悟空', '哈哈哈哈', '黑猴', '仙女', '发现', '只能', '不到']",49
7,7_猴子_水平_恶心_脸模,"['猴子', '水平', '恶心', '脸模', '关系', '心理', '样子', '西游记', '笑话', '评价']","['《黑神话：悟空》豆瓣开分，9.1/10分，23790条评价，能不能不要再意淫孙悟空的形象了，意淫爱好者麻烦远离孙悟空，游戏里那个跟孙悟空有什么关系，有半分灵气吗，别拿猴子满足自己低级的装逼梦，一副文化水平不高的样子，看着都恶心，油管脸模对比：亚洲/中国的女性太漂亮了，一个纯靠美术和动作设计营造奇观满足人们猎奇心理再癌动一点民族主义情绪来获利的一款商品但只要仔细看就能发，现黑猴子的核心', '一星中肯，真玩家《黑神话：悟空》豆瓣开分，9.1/10分，23790条评价，能不能不要再意淫孙悟空的形象了，意淫爱好者麻烦远离孙悟空，游戏里那个跟孙悟空有什么关系，有半分灵气吗，别拿猴子满足自己低级的装逼梦，一副文化水平不高的样子，看着都恶心，油管脸模对比：亚洲/中国的女性太漂亮了，一个纯靠美术和动作设计营造奇观满足人们猎奇心理再癌动一点民族主义情绪来获利的一款商品但只要仔细看就能发', '《黑神话：悟空》豆瓣开分，9.1/10分，23790条评价，能不能不要再意淫孙悟空的形象了，意淫爱好者麻烦远离孙悟空，游戏里那个跟孙悟空有什么关系，有半分灵气吗，别拿猴子满足自己低级的装逼梦，一副文化水平不高的样子，看着都恶心，油管脸模对比：亚洲/中国的女性太漂亮了，一个纯靠美术和动作设计营造奇观满足人们猎奇心理再癌动一点民族主义情绪来获利的一款商品但只要仔细看就能发，现黑猴子的核心']","['猴子', '水平', '恶心', '脸模', '关系', '心理', '样子', '西游记', '笑话', '评价']",48
8,8_黑神话_屁股_黑猴_不配,"['黑神话', '屁股', '黑猴', '不配', '女籍', '男生', '女性', '黑神话悟空', '记得', '史书']","['为什么不给我发女性就不玩么话说我玩黑神话的电脑被谁贪墨了，\u200b\u200b::SouthiefKoreaplease。', '之后女性力量又来了//纷纷装作理中客，说“女性也买黑神话”，意思就是再告诉大家女性群体并没有抵制黑神话才会卖爆，这样岁月史书是为了让商家不要放弃讨好女权我也是女的，我也买了黑猴，\u200b\u200b::爱吃鱼的神经猫。', '快进到《看见黑神话悟空中的女性力量》//纷纷装作理中客，说“女性也买黑神话”，意思就是再告诉大家女性群体并没有抵制黑神话才会卖爆，这样岁月史书是为了让商家不要放弃讨好女权我也是女的，我也买了黑猴，\u200b\u200b::爱吃鱼的神经猫。']","['黑神话', '屁股', '黑猴', '不配', '女籍', '男生', '女性', '黑神话悟空', '记得', '史书']",48
