A-word,A-score,B-word,B-score,C-word,C-score,D-word,D-score
增加,0.2960977023176457,乙游,0.2610273905428971,豆瓣,0.5277506187557109,印度,0.5285781514847941
影响,0.2895940912811173,瑞幸,0.2303087247107883,女拳,0.4875384018650384,四妹,0.4744363078149191
ign,0.2197049916855727,乙游,0.2281591385706924,四处,0.4075239389596841,四妹,0.3771233923706942
言论,0.2107308098086334,爱国,0.2182880182453327,态度,0.380019985060297,讨论,0.3311757173910323
工作室,0.1998488164704928,为啥,0.2114815126490065,联动,0.3448405734703001,四妹,0.3154167175979515
相关,0.1855392857277303,大作,0.2017558352217772,女权,0.2413606584985701,记者,0.3008517128986601
外媒,0.1753899976471463,营销,0.200496930538873,抵制,0.240281132702144,有个,0.2849747359242418
小时候,0.1736259069858829,算是,0.1979068062914105,女人,0.216898377860139,希望,0.2831835004290557
评论,0.1724231999552737,一句,0.1821587097226552,真的,0.1901283693862559,兄弟,0.2813003620842128
终于,0.1714145024177844,观点,0.1812733073519412,网友,0.1656696279649862,兄弟,0.2738528069931802
十年,0.1714145024177844,原神,0.1803862189200725,长得,0.1517014164171254,地方,0.2699760656124396
几年,0.1704070323265513,玩乙游,0.1749935160190042,steam,0.1442993391519763,仙人,0.2640115222623878
作者,0.1692955356858046,乙女游戏,0.1740574828348308,展开,0.1425909685458685,全是,0.2631260393470558
正确,0.1682803155172702,报道,0.1671687408574946,美女,0.1420504571500045,团队,0.2630506699581523
未来,0.1658846245088053,朋友,0.1653456796118297,黑神话悟空,0.1387735255061852,地方,0.2624111386038629
多元化,0.1590075896776785,本来,0.1624358572139017,男性,0.1298478899396865,作用,0.262160565977265
提供,0.1588614984390718,大部分,0.1598481755961125,真人,0.1261279750985282,有个,0.2546931639390434
公司,0.1571514374501271,群体,0.1581354915064231,符合,0.1247459167566353,作用,0.2459975195926265
不到,0.154923064481016,女玩家,0.1526824416020122,国家,0.1214932638400108,原型,0.2407986944034607
做出,0.1504979459088649,目标,0.1522535382548857,美女,0.1176599253591383,西游记,0.2403359881511809
代表,0.1499686748049532,抵制,0.1510338548413476,权益,0.1064371903828078,照片,0.2332024540545259
意识,0.1456937283335986,微博,0.1508949650848729,物化,0.1046790284156705,孩子,0.2326819157356707
性别,0.1391316656962878,冯骥,0.1473828733209433,迎合,0.1039665211319536,国外,0.2307949726865946
导致,0.1374712852378738,受众,0.1426465109713897,不想,0.1029896626077563,民族,0.2300034745460323
全女,0.1371954737968198,选择,0.1373456138845498,内容,0.1023719206126243,多元,0.2260653865501034
成立,0.1341316224423264,性别歧视,0.1358420848101744,互联网,0.1014050330722833,讨论,0.2251591005432933
评论,0.1337766206549538,发动,0.1357185250149168,女性,0.0938664090087297,全是,0.216933855428717
全女,0.130021854251888,游戏科学,0.1338948587994348,元素,0.0881543460874238,成立,0.1989369982435006
成功,0.1289618030459264,官方,0.133470507400856,黑神话,0.0871166644838885,剧情,0.1860550478009547
社会,0.1244353607613433,宣传,0.1309367469547754,一位,0.0843899053233794,例子,0.1825629174451718
刻板,0.1240940646453691,玩游戏,0.1242299484497307,四处,0.082596330061519,建模,0.1821857746563492
大作,0.1235901973069074,发布,0.1240163774674349,尊重,0.0818253812584313,网友,0.1821723923645073
星鸣特攻,0.1218853255976908,黑猴,0.1234248853018051,群体,0.0815472957632721,神话,0.1816381288310223
说话,0.1214779857994821,一群,0.1222651980294753,有人,0.0690094249629176,审美,0.1787575996690625
官方,0.1211276234876107,发布,0.1212616259635586,女性,0.0650996631607005,提到,0.174356227095682
工作室,0.1179167941858507,猴子,0.1180408093656611,屁股,0.0618351650150079,玩家,0.1711901111054593
公司,0.1170453335621492,真的,0.1149457980120773,黑神话悟空,0.058542057660614,报道,0.1619627621959969
行业,0.1144030238504138,女性玩家,0.1148782940639225,黑猴,0.0580659951623369,目的,0.1605435428009258
政治,0.1133007138062246,关注,0.1144988349629523,不配,0.0574003983815235,情况,0.1595622305131446
尊重,0.1124894953521438,性别歧视,0.1140276847564894,造谣,0.0540825123123134,提供,0.15840128685585
工作室,0.111751210176133,媒体,0.1136525578046612,女籍,0.0527216557526237,建模,0.152301738756614
十年,0.1117149688171078,水平,0.1135551888104109,男生,0.0520994976511565,导致,0.1491980958518261
印象,0.1098495447063689,恶心,0.1125796535772229,女性,0.051240668203378,政治,0.1458683180886416
全女,0.1061517514194679,脸模,0.1125796535772229,黑神话悟空,0.0510535527848605,世界,0.1413607996642289
作者,0.1050799876670511,群体,0.112001059889435,游戏,0.0492898750158274,第一次,0.1395829903359665
小时候,0.102379414119262,关系,0.1096394926445347,记得,0.0483372381426899,眯眯眼,0.1393926076227832
做出,0.0980831440578465,侮辱,0.1067861496993251,史书,0.0416671181943377,正确,0.138288174558749
展开,0.0966209845786398,造谣,0.1065054862311363,莫名其妙,0.034799610440291,外国,0.1380721245276442
指责,0.094332347937126,恋与深空,0.1065054862311363,抹黑,0.0344956593070109,第一次,0.135887467150017
厉害,0.0922050248707407,传统,0.1061369295963339,哈哈哈哈,0.032592314327874,原型,0.1355289472015649
游戏科学,0.0898507467187714,心理,0.1057924885682857,女玩家,0.0315660903114686,国内,0.1350593807802631
ghg,0.0774940669766399,中国,0.1054082910448927,黑猴,0.0314058868065524,想要,0.1290848299164775
策划,0.0564216345594886,文化,0.1053416540200856,恋与深空,0.0309042927498934,美丽,0.1253881884964911
星鸣特攻,0.0562140995648145,文化,0.1035153250542693,女性,0.030615711153112,实在,0.1245783972990005
特别,0.0548585024275761,样子,0.1032857081949534,仙女,0.0296979208541584,社会,0.1241149880901944
印象,0.0478485205576416,网上,0.1032190602535837,发现,0.027624250487009,歧视,0.1237476082279057
头上,0.0452003221706054,西游记,0.1020026242271523,游戏,0.0251110916053914,是因为,0.1225369652302377
媒体,0.0440423303205106,老外,0.1017767059149541,只能,0.0250478354092098,国外,0.1223096939111492
乐子,0.0422052648752684,男生,0.1012295938817807,不到,0.0245262816721807,明明,0.1218766812268593
实锤,0.040295533202375,元素,0.0981697161108133,孩子,0.0215263099552778,韩国,0.1192360220955102
特别,0.0401372608754528,几年,0.092934614156196,,,视频,0.1186058118692887
策划,0.0397167843757496,平台,0.0912383165659399,,,有人,0.1173909246079407
星鸣特攻,0.0355081450827976,攻击,0.0882611199705682,,,黑马,0.1156514331780738
赚钱,0.0332750589987433,黑神话,0.0859703925827847,,,一条,0.1138629460241487
玩游戏,0.0328443562339699,笑话,0.084796638991463,,,集美,0.1134825147785061
工作,0.0325117270797491,黑神话,0.0846340652369383,,,西方,0.1126730097021244
原因,0.0324809283841081,评价,0.0830930067952715,,,意识,0.1123489735768874
自然,0.0322991415435832,游戏科学,0.0779449607430043,,,颜值,0.1120713939012507
实锤,0.0320708284802464,没想到,0.0776877173522758,,,性别,0.1108264273010521
质疑,0.0318492910992793,女玩家,0.0745810216685476,,,例子,0.1091923401853722
,,增加,0.0722601128453943,,,提到,0.1073510252393429
,,关注,0.0718882624548886,,,角色,0.1032661156936506
,,漂亮,0.0705449957589933,,,没想到,0.1018390126005888
,,乙女游戏,0.0660811734172744,,,女性角色,0.1016651693549167
,,破防,0.0642445240176165,,,外国,0.1005789526216203
,,文化,0.0633244910649504,,,情况,0.098242370349425
,,经济,0.0589857322107282,,,西方,0.0980366253092746
,,玩家,0.0553793646198331,,,故事,0.097971332941335
,,联动,0.0538287724441444,,,悟空,0.0971779021834987
,,作品,0.0529753622283456,,,群体,0.0964502400830375
,,,,,,黑神话悟空,0.0936698780369145
,,,,,,有人,0.0934442171491146
,,,,,,代表,0.09275734256543
,,,,,,女性角色,0.0926710390539826
,,,,,,漂亮,0.0924757858366673
,,,,,,喜欢,0.0919284206475276
,,,,,,女性角色,0.0909491109634525
,,,,,,组织,0.0854945768961466
,,,,,,形象,0.0816393868984545
,,,,,,西方,0.0802316275193268
,,,,,,世界,0.079051189234322
,,,,,,悟空,0.0770138127076723
,,,,,,主角,0.0768012879331831
,,,,,,黑神话,0.0764330259655875
,,,,,,记者,0.0737824055446536
,,,,,,有人,0.0737594001994546
,,,,,,黑神话悟空,0.0718389579524304
,,,,,,ign,0.0716875255426144
,,,,,,大部分,0.0712105006178806
,,,,,,角色,0.0680085242630289
,,,,,,故事,0.0668093668009585
,,,,,,黑神话悟空,0.0667512130549495
,,,,,,西方,0.0662194002333153
,,,,,,审美,0.0639662329626591
,,,,,,黑神话悟空,0.0622569395083379
,,,,,,刻板,0.0599139559682398
,,,,,,黑神话,0.0595024221283904
,,,,,,剧情,0.0580067752114717
,,,,,,真实,0.0566847590774666
,,,,,,游戏,0.0565438566219303
,,,,,,眯眯眼,0.0548361309266804
,,,,,,黑神话悟空,0.0537335989549597
,,,,,,剧情,0.05116965843311
,,,,,,破防,0.0426298940711648
,,,,,,代表,0.0408925185127758
,,,,,,女性,0.0407534476697068
,,,,,,女性,0.0383773632649359
,,,,,,道理,0.0334452247811317
,,,,,,喜欢,0.0328029611702607
,,,,,,主角,0.0321782276549934
