A-word,A-score,B-word,B-score,C-word,C-score,D-word,D-score
游戏,0.7269788982604971,粉丝,0.8311619347922329,联动,0.7163308364607025,情绪,0.2666567332713424
游戏,0.6702745441961783,事件,0.7907121969293105,黑神话,0.6784276145509885,原谅,0.2510725535111204
热度,0.6255316284416941,黑神话,0.6354821661232748,厌女,0.6544929739818425,没关系,0.2171762945923519
游戏,0.6014355369544087,购买力,0.4497745026740673,尊重,0.622343097944947,中指,0.2160737643222808
视频,0.58307788915786,生物,0.4246220206681178,游戏,0.4919446195935253,出台,0.2115989820692382
黑马,0.5442125167442738,黑神话,0.4182245427851865,悟空,0.4861974496705588,运动员,0.2112733782389615
历史,0.5292905917425341,微博,0.4113339443950828,说话,0.4615568576995896,身份证,0.210629507571985
玩游戏,0.505217576523902,男性购买力,0.4058441443498992,选择,0.4551786731512502,家暴,0.210629507571985
纠结,0.504781429733801,维护,0.3750739814490193,抵制,0.4486739889163585,取消,0.2066651699640227
玩家,0.5021283754835799,官方,0.3750641193107617,官方,0.4481435549435324,成功,0.2030375641119197
装作,0.4784950962125149,瑞幸,0.3693111944097911,只会,0.4191875981591056,模式,0.1161762728506149
杨奇,0.4707014732029297,姐妹们,0.3623791290330612,博主,0.4174569618080591,模式,0.1019946411312527
纠结,0.4502104643571739,发生,0.3002090198607886,宣传,0.4104584541892064,真的,0.0984012075069001
杨奇,0.4245756343936919,联名,0.2578558459364752,道歉,0.4099807958953068,命运,0.0879685848004031
实在,0.4166282769362317,朋友圈,0.2365073665559161,网络,0.4011901901924017,共同体,0.0861622393521067
女玩家,0.4100236490024222,只能,0.2135455640548193,反对,0.3971378144819599,地狱,0.0855320220289053
黑神话,0.3950064061753426,数据,0.1798641251145481,想法,0.3953329098009868,生态环境,0.0854597649406582
女玩家,0.3945001199043881,性别,0.1556751678105176,叙事,0.3948531282974287,提高,0.0851890182252258
游戏,0.3903514586889621,女人,0.0846799617784299,有人,0.3930491581535988,生育率,0.0844363289750387
男性,0.3885778486009986,相关,0.0773783043269125,支持,0.3900101984417925,可怕,0.0809181837761153
依然,0.3684649615545995,,,挑起,0.3856325311778992,地狱,0.0803406645048148
女玩家,0.3600102491241036,,,黑神话,0.3803811232896401,模式,0.0788962346445844
小说,0.3242640473042955,,,对立,0.3786972050147655,共同体,0.0782434136862647
一款,0.3066552432620438,,,联动,0.3685736440592674,命运,0.0779113070205177
攻击,0.3049323659545878,,,杨奇,0.3402040433867407,共同体,0.0763531938667179
带动,0.3027659620369405,,,黑神话,0.3378216849474142,命运,0.0760291102993025
反向,0.3027659620369405,,,被迫,0.3351870210814712,裂开,0.074478348749921
反对,0.2988424013956204,,,集体,0.3346757470881413,生态环境,0.0744635777665605
女性玩家,0.2985654722364556,,,黑神话,0.3128694139857349,提高,0.0732636725900048
反向,0.2945830981981043,,,性别,0.3120196789540065,生育率,0.0726163499663078
带动,0.2945830981981043,,,游戏,0.3117556019517108,生态环境,0.0710400553189421
黑马,0.2919147599394572,,,文化输出,0.3053660584429477,提高,0.0708398480483241
商品,0.2879322004962589,,,游戏,0.2867888267918905,地狱,0.0706912640415874
喜欢,0.2871511127228209,,,黑神话,0.2779272790702579,可怕,0.0686985105203876
时代,0.2859892352822802,,,有人,0.2672013084328594,生育率,0.0683415694095111
黑马,0.2794604815713838,,,乙游,0.2670072003659456,阴暗处,0.0676037533563974
还会,0.2775405190341236,,,事件,0.2663354602710615,装不下,0.0676037533563974
发生,0.2737538188768876,,,支持,0.2635252395893396,掩埋,0.0676037533563974
侮辱,0.2723262532562785,,,真的,0.2572933964870142,多到,0.0669351494176282
被迫,0.2683790006263961,,,放弃,0.2459861210580537,国界,0.0668052979289327
言论,0.2672901454331635,,,微博,0.2447039883571258,地下,0.0666159247001686
群体,0.2652777562239907,,,觉醒,0.2436153066831833,可怕,0.0664257178812844
