Id,Label,indegree,outdegree,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks
伊利达雷之怒,伊利达雷之怒,2,516,518,0,3,0.82293,0.897059,896.666667,0.337118,0.00002
火鸡苗_,火鸡苗_,1,305,306,1,1,1,1,268,0.011354,0.00002
达克鸭唐,达克鸭唐,2,156,158,0,3,0.567663,0.620227,251.166667,0.337118,0.00002
王虎的舰桥,王虎的舰桥,2,111,113,0,1,1,1,197,0.022708,0.00002
白夜菌Dream,白夜菌Dream,1,180,181,0,2,0.959184,0.978723,146.833333,0.011354,0.00002
不厌读书中48615,不厌读书中48615,1,120,121,1,1,1,1,120,0.011354,0.000021
从暗影中回归,从暗影中回归,3,21,24,1,1,1,1,84,0.065236,0.000031
nan,nan,1,70,71,1,1,1,1,65,0.011354,0.00002
战斗力旺盛的爵爵,战斗力旺盛的爵爵,1,50,51,1,1,1,1,50,0.011354,0.000021
鱼杪MIA0,鱼杪MIA0,1,36,37,1,1,1,1,36,0.011354,0.00002
UCG一刀,UCG一刀,1,4,5,1,2,0.543478,0.58,25,0.011354,0.00002
美味滴小红薯,美味滴小红薯,1,7,8,0,1,1,1,18.5,0.325764,0.00002
天舞宝轮2024,天舞宝轮2024,5,3,8,0,1,1,1,18,0.087944,0.000056
stage1st宅社区,stage1st宅社区,1,16,17,0,1,1,1,16,0.011354,0.00002
贤莹定中,贤莹定中,1,15,16,0,1,1,1,15,0.011354,0.00002
深海小天,深海小天,1,15,16,0,1,1,1,15,0.011354,0.000021
大漂亮傻事,大漂亮傻事,1,14,15,0,1,1,1,13,0.011354,0.00002
Blade-黑铁桐人,Blade-黑铁桐人,1,9,10,0,1,1,1,9,0.011354,0.00002
广结骟媛解离版,广结骟媛解离版,1,9,10,1,1,1,1,9,0.011354,0.000022
伯阳先生-段本司,伯阳先生-段本司,3,3,6,0,1,1,1,9,0.065236,0.00002
电影票房,电影票房,2,2,4,0,1,1,1,6,0.337118,0.00002
老刀99,老刀99,2,2,4,0,1,1,1,6,0.053882,0.00002
近卫步兵师,近卫步兵师,2,4,6,0,1,1,1,4.833333,0.337118,0.00002
南风在北京,南风在北京,1,4,5,0,1,1,1,4,0.011354,0.00002
HOPEfulove,HOPEfulove,1,3,4,0,1,1,1,3,0.011354,0.00002
一字吾名,一字吾名,1,3,4,0,1,1,1,3,0.011354,0.000026
纯银V,纯银V,2,2,4,0,1,1,1,3,0.022708,0.00002
冬亚,冬亚,1,3,4,0,1,1,1,3,0.011354,0.00002
我是你酥,我是你酥,1,3,4,0,1,1,1,3,0.011354,0.000022
齐司礼-回归,齐司礼-回归,1,1,2,0,1,1,1,3,0.325764,0.00002
驰名双标菌,驰名双标菌,1,2,3,0,1,1,1,2,0.011354,0.00002
战甲装研菌,战甲装研菌,1,2,3,0,1,1,1,2,0.011354,0.00002
小虾才没香喷喷,小虾才没香喷喷,2,1,3,0,1,1,1,2,0.022708,0.00002
土味街拍大赏,土味街拍大赏,1,2,3,0,1,1,1,2,0.011354,0.00002
-要炸鸡没有啤酒-,-要炸鸡没有啤酒-,1,2,3,0,1,1,1,2,0.011354,0.00002
