name,Label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class,clustering
2吉不是老邢,2吉不是老邢,0,42670,1500,0,43741,43741,2,0.992021,0.995978,0,0,47012,1,0
卢诗翰,卢诗翰,0,932,932,0,1019,1019,3,0.69344,0.781383,0,0,2174,0,0.000153
周末双休不犯法,周末双休不犯法,0,663,663,0,673,673,1,1,1,0,0,47968,1,0
伊利达雷之怒,伊利达雷之怒,2,516,518,2,624,626,3,0.82293,0.897059,896.666667,0,1082,0,0.000439
正宗爹味酱,正宗爹味酱,0,348,348,0,353,353,2,0.997143,0.998567,0,0,48706,1,0
火鸡苗_,火鸡苗_,1,305,306,1,310,311,1,1,1,268,0,11538,1,0
阑夕,阑夕,0,298,298,0,311,311,3,0.865435,0.943598,0,0,49858,0,0
里神楽,里神楽,0,206,206,0,214,214,2,0.752451,0.835505,0,0,307,0,0.000308
白夜菌Dream,白夜菌Dream,1,180,181,1,226,227,2,0.959184,0.978723,146.833333,0,2060,0,0.000798
达克鸭唐,达克鸭唐,2,156,158,2,169,171,3,0.567663,0.620227,251.166667,0,1082,0,0.002491
香港文匯網,香港文匯網,0,122,122,0,131,131,2,0.680473,0.765217,0,0,50067,0,0
不厌读书中48615,不厌读书中48615,1,120,121,1,123,124,1,1,1,120,0,3148,1,0
t0mbkeeper,t0mbkeeper,0,118,118,0,126,126,2,0.983607,0.991667,0,0,47118,0,0
王虎的舰桥,王虎的舰桥,2,111,113,2,129,131,1,1,1,197,0,160,0,0.001975
游戏圈资讯君,游戏圈资讯君,0,95,95,0,97,97,2,0.989691,0.994792,0,0,1200,0,0
臭豆腐酿鲱鱼,臭豆腐酿鲱鱼,0,94,94,0,100,100,2,0.97,0.984536,0,0,492,0,0
人五_,人五_,0,75,75,0,130,130,1,1,1,0,0,2394,1,0
大大大餅干丶,大大大餅干丶,0,74,74,0,77,77,1,1,1,0,0,4077,0,0
拆台CT,拆台CT,0,72,72,0,74,74,1,1,1,0,0,2238,0,0
nan,nan,1,70,71,2,79,81,1,1,1,65,0,2472,1,0.000805
公忠体国五十万,公忠体国五十万,0,71,71,0,72,72,1,1,1,0,0,48781,1,0
一粒糖豆DAYTOY,一粒糖豆DAYTOY,0,70,70,0,73,73,1,1,1,0,0,47378,1,0
自信是一门学问,自信是一门学问,0,69,69,0,74,74,1,1,1,0,0,48060,1,0
陈哥反女拳,陈哥反女拳,0,66,66,0,68,68,1,1,1,0,0,3561,0,0
游戏君,游戏君,0,62,62,0,66,66,1,1,1,0,0,49574,0,0
戴雨潇Dai,戴雨潇Dai,0,61,61,0,62,62,1,1,1,0,0,2819,0,0
_Reno_挚爱FF,_Reno_挚爱FF,0,53,53,0,57,57,1,1,1,0,0,49025,1,0
五五五五五5个五,五五五五五5个五,0,52,52,0,52,52,2,0.709677,0.795455,0,0,4000,1,0
战斗力旺盛的爵爵,战斗力旺盛的爵爵,1,50,51,1,57,58,1,1,1,50,0,395,1,0
米浴厨,米浴厨,0,49,49,0,52,52,2,0.802469,0.876923,0,0,2297,0,0
杉果娘Sonkwo,杉果娘Sonkwo,0,49,49,0,56,56,1,1,1,0,0,48101,0,0
ENTP股大,ENTP股大,0,48,48,0,50,50,1,1,1,0,0,49095,1,0
薯片全否定,薯片全否定,0,47,47,0,47,47,1,1,1,0,0,47264,1,0
lost霾,lost霾,0,44,44,0,44,44,1,1,1,0,0,47187,1,0
女性生存备忘录,女性生存备忘录,0,44,44,0,45,45,1,1,1,0,0,47309,1,0
风咒,风咒,0,41,41,0,42,42,1,1,1,0,0,3885,0,0
游戏玩家张大飞,游戏玩家张大飞,0,40,40,0,40,40,1,1,1,0,0,49350,0,0
南归孤夷,南归孤夷,0,40,40,0,40,40,2,0.785714,0.863636,0,0,50212,0,0
鱼杪MIA0,鱼杪MIA0,1,36,37,1,37,38,1,1,1,36,0,3990,1,0
福州摄影菌,福州摄影菌,0,36,36,0,39,39,1,1,1,0,0,344,0,0
包容万物恒河水,包容万物恒河水,0,31,31,0,31,31,1,1,1,0,0,3254,0,0
林中白狼,林中白狼,0,29,29,0,29,29,1,1,1,0,0,47145,0,0
谜之免女郎X,谜之免女郎X,0,28,28,0,29,29,2,0.741379,0.825581,0,0,3787,0,0
洛梅笙,洛梅笙,0,27,27,0,28,28,2,0.550186,0.591216,0,0,50281,1,0
_U妮_,_U妮_,0,24,24,0,27,27,1,1,1,0,0,3359,1,0
从暗影中回归,从暗影中回归,3,21,24,3,22,25,1,1,1,84,0,2877,1,0
游戏更新了,游戏更新了,0,23,23,0,25,25,1,1,1,0,0,48926,0,0
__Kek444,__Kek444,0,22,22,0,31,31,1,1,1,0,0,2676,1,0
大喷菇与豌豆公主,大喷菇与豌豆公主,0,21,21,0,22,22,2,0.586777,0.647887,0,0,2521,1,0
游民星空,游民星空,0,18,18,0,18,18,1,1,1,0,0,49961,0,0
无心简影,,0,17,17,0,17,17,1,1,1,0,0,3699,0,0
stage1st宅社区,,1,16,17,1,16,17,1,1,1,16,0,2289,0,0
RebirthCu1e,,0,16,16,0,17,17,1,1,1,0,0,48220,1,0
深海小天,,1,15,16,1,15,16,1,1,1,15,0,3783,0,0
大漂亮傻事,,1,14,15,1,14,15,1,1,1,13,0,1105,0,0.004762
暴食症患者李舜生,,0,15,15,0,17,17,1,1,1,0,0,1213,0,0
食腐动物的搞笑日常,,0,15,15,0,16,16,1,1,1,0,0,49905,1,0
国男大饭店烹炒主厨,,0,15,15,0,16,16,1,1,1,0,0,50231,0,0
带助教阿塔尼斯,,14,0,14,24,0,24,0,0,0,0,0,157,0,0
秦蒙君,,0,13,13,0,13,13,1,1,1,0,0,2599,0,0
好废的布偶猫,,0,11,11,0,11,11,2,0.823529,0.892857,0,0,2482,0,0
无根流木,,0,11,11,0,11,11,1,1,1,0,0,2648,1,0
月刊勇者KuMa君,,0,11,11,0,11,11,1,1,1,0,0,48128,0,0
游戏圈瓜王,,0,11,11,0,12,12,1,1,1,0,0,48878,1,0
咕咕天天咕咕,,0,11,11,0,16,16,1,1,1,0,0,49120,1,0
胜利主义章北海,,0,10,10,0,10,10,1,1,1,0,0,2501,0,0
又混了一天诶,,0,10,10,0,11,11,1,1,1,0,0,3449,1,0
广结骟媛解离版,,1,9,10,1,9,10,1,1,1,9,0,3608,1,0
天舞宝轮2024,,5,3,8,6,4,10,1,1,1,18,0,483,0,0
士多啤椰梨,,0,8,8,0,10,10,1,1,1,0,0,2611,0,0
