Id,Label,indegree,outdegree,degree,modularity_class,中文昵称,English Translation
2吉不是老邢,NotOldXing,0,42670,1200,1,2吉不是老邢,NotOldXing
卢诗翰,LuShihan,0,932,932,0,卢诗翰,LuShihan
周末双休不犯法,WeekendsAreLegal,0,663,663,1,周末双休不犯法,WeekendsAreLegal
伊利达雷之怒,WrathOfIllidari,2,516,518,0,伊利达雷之怒,WrathOfIllidari
正宗爹味酱,AuthenticDadSauce,0,348,348,1,正宗爹味酱,AuthenticDadSauce
火鸡苗_,TurkeySprout,1,305,306,1,火鸡苗_,TurkeySprout
阑夕,Lanxi,0,298,298,0,阑夕,Lanxi
里神楽,RiShinko,0,206,206,0,里神楽,RiShinko
白夜菌Dream,DreamOfWhiteNightFungus,1,180,181,0,白夜菌Dream,DreamOfWhiteNightFungus
达克鸭唐,DuckTang,2,156,158,0,达克鸭唐,DuckTang
香港文匯網,WenWeiPoHK,0,122,122,0,香港文匯網,WenWeiPoHK
不厌读书中48615,BookLover48615,1,120,121,1,不厌读书中48615,BookLover48615
t0mbkeeper,t0mbkeeper,0,118,118,0,t0mbkeeper,t0mbkeeper
王虎的舰桥,CaptainWangBridge,2,111,113,0,王虎的舰桥,CaptainWangBridge
游戏圈资讯君,GameNewsMaster,0,95,95,0,游戏圈资讯君,GameNewsMaster
臭豆腐酿鲱鱼,FermentedTofuHerring,0,94,94,0,臭豆腐酿鲱鱼,FermentedTofuHerring
翼尖小翅,WingtipFeather,0,83,83,0,翼尖小翅,WingtipFeather
人五_,Renwu,0,75,75,1,人五_,Renwu
大大大餅干丶,BigBigBigCookie,0,74,74,0,大大大餅干丶,BigBigBigCookie
拆台CT,DemolitionCT,0,72,72,0,拆台CT,DemolitionCT
nan,nan,1,70,71,1,nan,nan
公忠体国五十万,LoyalPatriot500k,0,71,71,1,公忠体国五十万,LoyalPatriot500k
一粒糖豆DAYTOY,DaytoyCandy,0,70,70,1,一粒糖豆DAYTOY,DaytoyCandy
自信是一门学问,ConfidenceIsALesson,0,69,69,1,自信是一门学问,ConfidenceIsALesson
陈哥反女拳,AntiFeministChen,0,66,66,0,陈哥反女拳,AntiFeministChen
游戏动漫小兔娱,BunnyFunOfGames,0,66,66,0,游戏动漫小兔娱,BunnyFunOfGames
游戏君,GameJun,0,62,62,0,游戏君,GameJun
戴雨潇Dai,DaiYuxiao,0,61,61,0,戴雨潇Dai,DaiYuxiao
_Reno_挚爱FF,RenoLovesFF,0,53,53,1,_Reno_挚爱FF,RenoLovesFF
五五五五五5个五,FiveTimesFive,0,52,52,1,五五五五五5个五,FiveTimesFive
战斗力旺盛的爵爵,FighterJue,1,50,51,1,战斗力旺盛的爵爵,FighterJue
米浴厨,MiyuFan,0,49,49,0,米浴厨,MiyuFan
杉果娘Sonkwo,SonkwoGirl,0,49,49,0,杉果娘Sonkwo,SonkwoGirl
ENTP股大,ENTPStocker,0,48,48,1,ENTP股大,ENTPStocker
薯片全否定,AntiChips,0,47,47,1,薯片全否定,AntiChips
lost霾,LostSmog,0,44,44,1,lost霾,LostSmog
女性生存备忘录,Women'sSurvivalMemo,0,44,44,1,女性生存备忘录,Women'sSurvivalMemo
风咒,WindCurse,0,41,41,0,风咒,WindCurse
游戏玩家张大飞,GamerZhangDafei,0,40,40,0,游戏玩家张大飞,GamerZhangDafei
南归孤夷,NanguiGuyi,0,40,40,0,南归孤夷,NanguiGuyi
鱼杪MIA0,Miaofish,1,36,37,1,鱼杪MIA0,Miaofish
福州摄影菌,FuzhouPhotoFungus,0,36,36,0,福州摄影菌,FuzhouPhotoFungus
包容万物恒河水,EverflowingRiver,0,31,31,0,包容万物恒河水,EverflowingRiver
